index,Accuracy,Precision,DiceSimilarityCoefficient,IntersectionOverUnion,HausdorffDistance,TruePositive,TrueNegative,FalsePositive,FalseNegative,AUC,TruePositive_nor,TrueNegative_nor,FalsePositive_nor,FalseNegative_nor
14489,0.974562,0.791181,0.781167,0.640914,8.185353,10461,214078,2761,3100,0.879335,4.540 ,92.916 ,1.198 ,1.345 
14490,0.977513,0.810177,0.809192,0.679532,8.246211,10986,214233,2574,2607,0.898169,4.768 ,92.983 ,1.117 ,1.132 
14491,0.980282,0.841653,0.830908,0.710729,7.071068,11162,214695,2100,2443,0.905374,4.845 ,93.184 ,0.911 ,1.060 
14492,0.978451,0.835149,0.81743,0.691231,7.549834,11115,214320,2194,2771,0.895157,4.824 ,93.021 ,0.952 ,1.203 
14493,0.981063,0.851504,0.839507,0.723406,7.211103,11411,214626,1990,2373,0.909329,4.953 ,93.154 ,0.864 ,1.030 
14494,0.979748,0.844553,0.828607,0.707369,7.211103,11279,214455,2076,2590,0.901833,4.895 ,93.079 ,0.901 ,1.124 
14495,0.981115,0.844304,0.837328,0.720175,7,11198,214851,2065,2286,0.910473,4.860 ,93.251 ,0.896 ,0.992 
14496,0.980881,0.848997,0.836349,0.718728,7.483315,11256,214739,2002,2403,0.907418,4.885 ,93.203 ,0.869 ,1.043 
14497,0.97865,0.853986,0.845766,0.73275,7.549834,13487,211994,2306,2613,0.913471,5.854 ,92.011 ,1.001 ,1.134 
14498,0.978602,0.830008,0.826384,0.704135,7.416198,11733,213737,2403,2527,0.905837,5.092 ,92.768 ,1.043 ,1.097 
14499,0.978268,0.828447,0.820518,0.69566,7.937254,11445,213948,2370,2637,0.900892,4.967 ,92.859 ,1.029 ,1.145 
14500,0.983859,0.847771,0.838297,0.721611,7.211103,9640,217041,1731,1988,0.910561,4.184 ,94.202 ,0.751 ,0.863 
14501,0.985035,0.859385,0.828424,0.707102,6.928203,8324,218628,1362,2086,0.896712,3.613 ,94.891 ,0.591 ,0.905 
14502,0.982344,0.825425,0.77337,0.630484,8.062258,6941,219391,1468,2600,0.860423,3.013 ,95.222 ,0.637 ,1.128 
14503,0.98773,0.795504,0.815023,0.687797,7.937254,6228,221345,1601,1226,0.914172,2.703 ,96.070 ,0.695 ,0.532 
14504,0.987227,0.823966,0.813911,0.686214,6.928203,6436,221021,1375,1568,0.898958,2.793 ,95.929 ,0.597 ,0.681 
14505,0.988234,0.825706,0.816365,0.68971,7.211103,6026,221663,1272,1439,0.900764,2.615 ,96.208 ,0.552 ,0.625 
14506,0.979375,0.800732,0.790569,0.65367,7.416198,8969,216679,2232,2520,0.885232,3.893 ,94.045 ,0.969 ,1.094 
14507,0.981163,0.798804,0.794954,0.659688,7.681146,8413,217647,2119,2221,0.89075,3.651 ,94.465 ,0.920 ,0.964 
14508,0.981324,0.78626,0.800649,0.667568,8.485281,8641,217456,2349,1954,0.902443,3.750 ,94.382 ,1.020 ,0.848 
